ID,Pred
2022_1103_1104,0.46455688592884303
2022_1103_1112,0.22445107709712753
2022_1103_1116,0.36638004552783077
2022_1103_1120,0.3402808995837274
2022_1103_1124,0.2829891160042792
2022_1103_1129,0.37553492180734727
2022_1103_1136,0.6043182151391246
2022_1103_1151,0.46189579087945576
2022_1103_1159,0.4958474596551732
2022_1103_1161,0.3710192120817275
2022_1103_1163,0.35608166295986743
2022_1103_1166,0.4362554866590467
2022_1103_1168,0.6756136710612926
2022_1103_1172,0.4028971699117403
2022_1103_1174,0.6124924312229149
2022_1103_1181,0.2708313118213621
2022_1103_1209,0.5927494647404454
2022_1103_1211,0.21603334946714114
2022_1103_1222,0.2676188198724505
2022_1103_1228,0.33597050879261214
2022_1103_1231,0.4877044775301569
2022_1103_1234,0.2799818560553024
2022_1103_1235,0.5909471231145949
2022_1103_1240,0.6366979040819085
2022_1103_1242,0.25969604930317564
2022_1103_1246,0.2679230213313927
2022_1103_1255,0.5474819049916573
2022_1103_1260,0.4386755649650296
2022_1103_1261,0.49664875172097445
2022_1103_1266,0.5123507663519391
2022_1103_1272,0.3882304682926262
2022_1103_1274,0.4400090441530088
2022_1103_1276,0.4320295960813477
2022_1103_1277,0.43009682683524675
2022_1103_1286,0.538275848507451
2022_1103_1293,0.387453458971164
2022_1103_1308,0.49596993096307185
2022_1103_1313,0.6571322760998604
2022_1103_1314,0.3636814313388465
2022_1103_1323,0.4470356382300841
2022_1103_1326,0.45483238774573753
2022_1103_1344,0.3709228916709889
2022_1103_1345,0.256771017931958
2022_1103_1350,0.452532040823165
2022_1103_1353,0.48390375568492516
2022_1103_1355,0.3661956874824266
2022_1103_1361,0.4569071438553844
2022_1103_1362,0.49319044148921687
2022_1103_1371,0.4491061422916701
2022_1103_1388,0.38809253056311166
2022_1103_1389,0.6556846252785045
2022_1103_1394,0.7586552762403179
2022_1103_1395,0.4996209090362121
2022_1103_1397,0.28292169417326873
2022_1103_1400,0.4471301368929113
2022_1103_1403,0.3718731309066845
2022_1103_1411,0.7040654591100663
2022_1103_1412,0.4199202970292504
2022_1103_1417,0.3201614198976176
2022_1103_1425,0.3886502692324948
2022_1103_1436,0.43607544803000603
2022_1103_1437,0.26092448718945926
2022_1103_1439,0.3348558429695978
2022_1103_1458,0.3928634640122448
2022_1103_1460,0.6212799283656152
2022_1103_1461,0.5123828254585674
2022_1103_1463,0.6171906919062996
2022_1104_1112,0.23893390843055676
2022_1104_1116,0.39279604347454533
2022_1104_1120,0.36732382176839196
2022_1104_1124,0.30547154241306607
2022_1104_1129,0.40520543502565964
2022_1104_1136,0.6368030358846845
2022_1104_1151,0.49770577608623656
2022_1104_1159,0.5315510814620176
2022_1104_1161,0.40174369436969104
2022_1104_1163,0.385136508763811
2022_1104_1166,0.4700711562503207
2022_1104_1168,0.7057925473141528
2022_1104_1172,0.4356669357694678
2022_1104_1174,0.6441835862432858
2022_1104_1181,0.2934077343107492
2022_1104_1209,0.6293584228057733
2022_1104_1211,0.23341534928623983
2022_1104_1222,0.2911375637044884
2022_1104_1228,0.3635323601622048
2022_1104_1231,0.5249725056610648
2022_1104_1234,0.3056067399660955
2022_1104_1235,0.6280561131905356
2022_1104_1240,0.6624158910525844
2022_1104_1242,0.277516406774549
2022_1104_1246,0.29042261599140384
2022_1104_1255,0.5808766431447728
2022_1104_1260,0.4732155197449056
2022_1104_1261,0.5345653964874788
2022_1104_1266,0.5492335922718921
2022_1104_1272,0.4205798103744797
2022_1104_1274,0.4756267704476518
2022_1104_1276,0.46751252330682946
2022_1104_1277,0.4640067589162665
2022_1104_1286,0.5740318113272768
2022_1104_1293,0.42141097500189356
2022_1104_1308,0.5305910938425306
2022_1104_1313,0.6854233398255095
2022_1104_1314,0.3933457781650139
2022_1104_1323,0.4823400647171152
2022_1104_1326,0.4897660194125991
2022_1104_1344,0.40042183435769974
2022_1104_1345,0.28084838562283865
2022_1104_1350,0.4873613545165939
2022_1104_1353,0.5212418672278915
2022_1104_1355,0.39979590651452473
2022_1104_1361,0.49259373377180554
2022_1104_1362,0.5289968617837634
2022_1104_1371,0.48380958799071894
2022_1104_1388,0.41872955472748885
2022_1104_1389,0.6899067523095239
2022_1104_1394,0.773754261254479
2022_1104_1395,0.5372257143694338
2022_1104_1397,0.29961313660022654
2022_1104_1400,0.48256803590035136
2022_1104_1403,0.40114543123287505
2022_1104_1411,0.7340894180384958
2022_1104_1412,0.45496968321839765
2022_1104_1417,0.3444188941718835
2022_1104_1425,0.42104223924506556
2022_1104_1436,0.4712432340411813
2022_1104_1437,0.277798820283083
2022_1104_1439,0.36385803160722785
2022_1104_1458,0.4243007322354305
2022_1104_1460,0.65195916365028
2022_1104_1461,0.5486510215702396
2022_1104_1463,0.6530490385779404
2022_1112_1116,0.6768072623824787
2022_1112_1120,0.6533760705538277
2022_1112_1124,0.5869783785344476
2022_1112_1129,0.6901940022410347
2022_1112_1136,0.8391657624483551
2022_1112_1151,0.748123931822435
2022_1112_1159,0.7680490722372726
2022_1112_1161,0.6881728967994125
